id,order_of_tasks,self_perceived_knowledge,overclaiming_proportion,accuracy,FINRA_score
1,1,5.5,.444444444,.25,4
7,1,4.5,.555555556,.194444444,4
10,1,3.5,.166666667,.347222222,5
12,1,6,.722222222,-.055555556,4
14,1,2.5,.388888889,.166666667,3
17,1,7,.944444444,-.041666667,4
18,1,6.5,0,.847222222,5
20,1,4,.111111111,.5,4
21,1,4.5,.666666667,-.083333333,2
22,1,7,.777777778,.152777778,5
25,1,4,0,.611111111,5
27,1,3.5,.166666667,.152777778,0
29,1,4,.111111111,.166666667,3
30,1,5,.222222222,.611111111,5
31,1,5,.444444444,.222222222,5
33,1,5,.111111111,.486111111,4
34,1,3.5,.111111111,.166666667,2
35,1,3.5,0,.25,4
37,1,6,.5,.291666667,5
38,1,4.5,.333333333,.416666667,4
39,1,5,.833333333,.027777778,1
40,1,6,.5,.180555556,2
41,1,5,.444444444,.222222222,4
46,1,4.5,.555555556,.291666667,3
48,1,6,.444444444,.347222222,5
49,1,3.5,.222222222,.402777778,3
50,1,4.5,.111111111,.486111111,4
51,1,5,.166666667,.486111111,5
54,1,4.5,.222222222,.222222222,3
55,1,3.5,.333333333,.027777778,5
58,1,4.5,.5,.083333333,4
60,1,4,.388888889,.319444444,4
62,1,3,.055555556,.277777778,3
63,1,4,.277777778,.222222222,4
64,1,4,.333333333,.263888889,4
66,1,3,.111111111,.180555556,2
72,1,4.5,.111111111,.513888889,4
75,1,5,.388888889,.208333333,4
76,1,3,.166666667,.527777778,4
77,1,4.5,.666666667,.111111111,4
78,1,5.5,.611111111,-.125,1
80,1,6,.555555556,.236111111,5
83,1,5,.166666667,.472222222,2
87,1,4.5,.166666667,.444444444,3
89,1,4.5,.722222222,.055555556,3
90,1,5,.055555556,.847222222,5
91,1,5.5,.722222222,.083333333,4
94,1,3,.333333333,.138888889,4
95,1,1,0,.319444444,4
96,1,4,.388888889,.166666667,3
99,1,5.5,.444444444,.041666667,4
100,1,4.5,.444444444,.263888889,4
101,1,6,.277777778,.305555556,4
102,1,6.5,.555555556,.152777778,5
104,1,4.5,.333333333,.138888889,3
107,1,4.5,.111111111,.652777778,5
109,1,3.5,.222222222,.097222222,2
111,1,7,.944444444,.041666667,5
114,1,6,.611111111,.222222222,5
117,1,4.5,.555555556,.027777778,5
121,1,3,.444444444,.027777778,2
122,1,4.5,0,.527777778,2
125,1,4,.5,.111111111,4
131,1,6,.555555556,.333333333,4
133,1,4.5,.222222222,.305555556,4
134,1,6,.444444444,.388888889,3
135,1,5,.111111111,.138888889,4
137,1,5.5,.5,.333333333,5
139,1,4.5,.5,.25,3
142,1,6.5,.444444444,.513888889,5
143,1,4.5,.277777778,.208333333,2
144,1,4,.111111111,.416666667,4
146,1,6,.055555556,.638888889,4
147,1,4,.166666667,.180555556,4
150,1,6,.5,.069444444,4
151,1,5,.166666667,.277777778,3
152,1,5,.055555556,.513888889,5
153,1,5,.833333333,-.027777778,4
154,1,4.5,.666666667,-.027777778,1
158,1,3.5,.444444444,.277777778,5
161,1,4.5,.055555556,.5,4
163,1,5,.222222222,.5,5
166,1,7,.055555556,.930555556,5
169,1,3.5,.222222222,.25,5
170,1,3.5,0,.25,1
172,1,6,.555555556,.25,5
173,1,4,0,.569444444,3
174,1,6,.277777778,.527777778,4
175,1,6,.5,.416666667,5
176,1,5,.388888889,.305555556,3
177,1,3,.166666667,.236111111,3
182,1,2.5,0,.277777778,1
183,1,4.5,.5,.347222222,5
186,1,4,.055555556,.444444444,4
190,1,4,.388888889,.083333333,4
191,1,5.5,.777777778,.083333333,5
192,1,5,.555555556,-.055555556,5
195,1,3.5,0,.291666667,4
196,1,4.5,.777777778,-.041666667,1
198,1,5,.055555556,.736111111,4
201,1,4.5,.333333333,.319444444,3
2,2,4,.388888889,.319444444,4
3,2,3,.055555556,.222222222,4
4,2,2,.111111111,.152777778,2
5,2,3.5,.333333333,.055555556,4
6,2,4,.111111111,.375,3
8,2,3,0,.486111111,4
9,2,4,.111111111,.263888889,4
11,2,3.5,.055555556,.527777778,4
13,2,3.5,.277777778,.555555556,5
15,2,4.5,0,.541666667,5
16,2,3.5,.277777778,.263888889,3
19,2,5,.277777778,.402777778,3
23,2,6.5,.222222222,.569444444,5
24,2,5,.833333333,.013888889,1
26,2,4,.555555556,-.041666667,0
28,2,3.5,.055555556,.430555556,4
32,2,4,0,.5,4
36,2,5,.388888889,.347222222,4
42,2,4,.166666667,.361111111,4
43,2,4,.388888889,.458333333,3
44,2,1,.055555556,.472222222,4
45,2,4.5,.444444444,.069444444,4
47,2,4,.277777778,.236111111,3
52,2,4,0,.833333333,5
53,2,4.5,.388888889,.305555556,4
56,2,5,.722222222,.166666667,4
57,2,5.5,.5,-.041666667,3
59,2,4,.166666667,.333333333,4
61,2,2,.166666667,.166666667,3
65,2,5,.055555556,.625,4
67,2,5,.222222222,.333333333,3
68,2,4.5,.333333333,.152777778,3
69,2,5,.222222222,.486111111,5
70,2,3.5,.055555556,.722222222,4
71,2,5.5,.666666667,.055555556,4
73,2,5,.055555556,.555555556,4
74,2,4,.222222222,.375,5
79,2,4,.111111111,.458333333,4
81,2,1,.055555556,.361111111,1
82,2,4,.388888889,.166666667,3
84,2,4,.111111111,.472222222,4
85,2,5.5,.166666667,.5,4
86,2,4.5,.166666667,.388888889,4
88,2,3,0,.361111111,2
92,2,6,.388888889,.277777778,3
93,2,5.5,.222222222,.208333333,4
97,2,4.5,.333333333,.486111111,3
98,2,6,.722222222,-.069444444,4
103,2,5,.444444444,.194444444,5
105,2,4.5,.444444444,.263888889,5
106,2,3,.055555556,.291666667,4
108,2,4,.333333333,.222222222,4
110,2,5,.333333333,.5,4
112,2,5,.166666667,.333333333,5
113,2,3.5,.222222222,.333333333,4
115,2,4.5,.388888889,.25,4
116,2,4,.388888889,-.013888889,3
118,2,4.5,.166666667,.583333333,3
119,2,5.5,.388888889,.263888889,4
120,2,5.5,.222222222,.319444444,5
123,2,6,.666666667,.319444444,5
124,2,2.5,.444444444,-.027777778,3
126,2,5.5,.555555556,.25,5
127,2,3,.111111111,.222222222,3
128,2,3.5,.333333333,.319444444,3
129,2,5.5,.333333333,.513888889,5
130,2,2.5,.222222222,.097222222,2
132,2,7,.111111111,.791666667,5
136,2,3,.111111111,.319444444,1
138,2,3.5,0,.583333333,5
140,2,6,.555555556,.013888889,1
141,2,4.5,.611111111,.208333333,4
145,2,4,.166666667,.347222222,4
148,2,5,.666666667,-.111111111,2
149,2,5.5,.166666667,.555555556,5
155,2,2.5,.055555556,.347222222,4
156,2,6,.111111111,.666666667,4
157,2,3,.277777778,.236111111,5
159,2,5.5,.555555556,.097222222,4
160,2,4.5,.166666667,.5,5
162,2,6,1,0,4
164,2,3.5,.055555556,.638888889,5
165,2,2.5,.277777778,.180555556,2
167,2,4,.055555556,.333333333,4
168,2,4,0,.486111111,3
171,2,2,.222222222,.375,4
178,2,4.5,.333333333,.083333333,1
179,2,6.5,.333333333,.347222222,4
180,2,4,.277777778,.194444444,5
181,2,2,.055555556,.125,2
184,2,5,.5,.291666667,5
185,2,4.5,.611111111,-.125,5
187,2,2.5,0,.666666667,4
188,2,4,.166666667,.555555556,4
189,2,4.5,.611111111,-.083333333,2
193,2,4.5,.166666667,.222222222,4
194,2,4,.611111111,-.194444444,2
197,2,3,0,.305555556,5
199,2,3,.166666667,.319444444,5
200,2,2.5,.166666667,.125,0
202,2,4,.277777778,.430555556,4
